电视公告,#genre#

温馨提醒,https://gcalic.v.myalicdn.com/gc/wgw05_1/index.m3u8$官方源
接口免费,https://gcwbndali.v.myalicdn.com/gcwbnd/ipanda1000_2/index.m3u8
拒绝收费,http://mobilelive-timeshift.ysp.cctv.cn/timeshift/ysp/2013693901/timeshift.m3u8?delay=0
如果已收,http://mobilelive-timeshift.ysp.cctv.cn/timeshift/ysp/2022606701/timeshift.m3u8?delay=0
申请退费,https://gitee.com/tv2785/iptv/raw/master/ad.mp4
更新2024-11-19,https://gitee.com/tv2785/iptv/raw/master/ad.mp4
已运行365天,https://gitee.com/tv2785/iptv/raw/master/ad.mp4


東森新聞,http://211.72.65.236:8540/http/60.251.39.91:8081/hls/63/805/ch10.m3u8
东风卫视,http://211.72.65.236:8528/http/61.67.128.137:8081/hls/68/810/ch31.m3u8

翡翠台,http://cdn9.1689.us.kg/smt1.1.php?id=jade_twn
华丽翡翠,http://cdn9.1689.us.kg/smt1.1.php?id=Tvbjade
TVB星河,http://cdn9.1689.us.kg/smt1.1.php?id=Xinhe
千禧经典,http://cdn9.1689.us.kg/smt1.1.php?id=Tvbclassic
ASTRO AOD,http://cdn9.1689.us.kg/smt1.1.php?id=Aodhd
重温经典,http://ali.hlspull.yximgs.com/live/awei_cwjd.flv


翡翠台,http://v2h.jdshipin.com/jade2/jade.stream/chunklist.m3u8
功夫台,http://v2h.jdshipin.com/asia_action1/1asia_action.stream/chunklist.m3u8
TVB星河,https://v2h.jdshipin.com/xinghe_1/xinghe_1.stream/chunklist.m3u8
TVB生活台,http://v2h.jdshipin.com/finance2/finance2.stream/chunklis

CCTV6,http://mobilelive-timeshift.ysp.cctv.cn/timeshift/ysp/2013693901/timeshift.m3u8?delay=0&cdn=5202
兵团卫视,http://mobilelive-timeshift.ysp.cctv.cn/timeshift/ysp/2022606701/timeshift.m3u8?delay=0&cdn=5202
中国教育,http://mobilelive-timeshift.ysp.cctv.cn/timeshift/ysp/2022823801/timeshift.m3u8?delay=0&cdn=5202
郑铁频道,http://39.162.27.11:8081/newlive/live/hls/1/live.m3u8
人民铁道,http://39.162.27.11:8081/newlive/live/hls/2/live.m3u8


最新一组,#genre#
